第一 部分 ： 寂静 的 春天 第一 章 ： 1 . 疯狂 年代|||PARTIE I : UN PRINTEMPS SILENCIEUX CHAPITRE 1 : LES ANNÉES DE FOLIE 

汪淼无意 中 扫 了 一 眼 平原 上 的 人 列 计算机 ， 看到 了 一 幅 噩梦 般 的 画面 ： 组成 主板 的 三千万 人 正在 飘 离 地面 ， 飞快 上升 ， 像 一 大 片 被 吸尘器 吸起 的 蚂蚁群 。|||Par hasard , Wang Miao jeta un œil à l' ordinateur humain et vit une scène de cauchemar : les trente millions d' hommes qui composaient la carte mère lévitaient dans les airs , comme une colonie de fourmis aspirée par un tuyau d' aspirateur . 

在 他们 飞 离 的 大地 上 ， 竟 清晰 地 留下 了 主板 电路 的 印痕 ， 那 一 大 片 只有 从 高空 才 能 一览全貌 的 精细 复杂 的 图纹 ， 将 在 遥远 的 未 来 成为 令 下 一个 三体 文明 困惑 的 遗迹 。|||Sur la surface apparaissaient clairement les empreintes des circuits de la carte mère . Cette série de motifs fins et complexes ne pouvait être intégralement observée qu' à une certaine hauteur et deviendrait pour la prochaine civilisation des Trois Corps qui naîtrait bien plus tard un énigmatique site archéologique . 

汪淼抬头 望 去 ， 天空 被 一 片 斑驳怪异 的 云层 所 覆盖 ， 这 云 是 由 尘埃 、 石块 、 人体 和 其他 杂物 构成 ， 太阳 在 云层 后面 闪耀 着 。|||Wang Miao leva les yeux . Le ciel était couvert d' une étrange couche de nuages marbrés , des nuages composés de poussière , de pierres ou encore de corps humains , derrière lesquels resplendissait le soleil . 

在 远方 ， 汪淼 看到 了 连绵 的 透明 山脉 在 缓缓 上升 ， 那 山脉 晶莹剔透 ， 在 闪闪 发光 中 变 幻 着 形状 ， 那 是 被 吸 向 太空 的 海洋 ！|||Au loin , Wang Miao vit encore une longue chaîne de montagnes transparentes en train de s' élever dans les cieux ; elles étaient aussi claires que du cristal , et elles changeaient de forme , baignées d' une lumière chatoyante . C' était en réalité l' océan qui se faisait aspirer par l' espace ! 

三体 世界 表面 的 一切 都 被 吸 向 太阳 。|||Tout ce qui se trouvait à la surface du monde des Trois Corps était aspiré par le soleil . 

汪淼 环顾 四周 ， 看到 了 冯 。|||Wang Miao regarda autour de lui . 

诺伊曼 和 秦始皇 ， 冯 。|||Il vit von Neumann et Qin Shi Huang . 

诺伊曼 在 飘浮 中 对 秦始皇 大声 说 着什 么 ， 但 没有 声音 发出 ， 只 出现 了 一 行 小小 的 字幕 ： “ … … 我 想到 了 ， 用 电 元件 ！|||Von Neumann , qui flottait dans les airs , cria quelque chose à l' empereur , mais aucun son ne sortait de sa bouche . Des sous-titres apparurent à l' écran : J' ai une idée ! Des composants électroniques ! 

用 电 元件 做成 门 电路 ， 组成 计算机 ！|||Nous devrions utiliser des composants électroniques pour faire nos portes logiques et les combiner en ordinateur ! 

那样 计算机 的 速度 要 快 许多 倍 ！ 体积 也 要 小 许多 ， 估计 用 一 幢 小 楼 就 放下 了 … … 陛下 ， 您 在 听 我 说 吗 ？ ”|||De tels ordinateurs seraient infiniment plus rapides et prendraient bien moins d' espace , j' estime qu' un petit bâtiment devrait suffire à les entreposer … Votre Altesse , m' écoutez -vous ? 

秦始皇 挥 着 长 剑 砍 向 冯 · 诺伊曼 ， 后者 蹬 着 旁边 飘浮 的 一 块 巨石 躲开 了 ， 长剑 砍 在 巨石 上 ， 迸 出 一 片 火花 断 成 两 截 。|||Qin Shi Huang fit tournoyer son épée en direction de von Neumann . Ce dernier donna un coup de pied dans un bloc de pierre qui passa à côté de lui et para le coup . L' arme heurta la pierre , qui se brisa en deux et fit des étincelles . 

紧接着 ， 这块 巨石 与 另 一 块 相撞 ， 将 秦始皇 夹 在 中间 ， 碎石 和 血肉横飞 ， 惨不忍睹 ， 但 汪淼 没有 听到 相撞 的 巨响 ， 周围 已经 一 片 死寂 ， 由于 空气 散失 ， 声音 也 不 存在 了 。|||Après quoi , la pierre entra en collision avec une autre et l' empereur se retrouva pris en sandwich entre eux deux . Ils assistèrent au monstrueux spectacle de gravats et de sang se répandant à l' horizontale . Curieusement , Wang n' entendit pas le bruit de l' impact . Autour de lui , tout était d' un silence de mort . 

飘浮 在 空中 的 人体 在 真空 中 血液 沸腾 ， 吐 出 内脏 ， 变成 了 一团团 由 体液 化 成 的 冰晶云 围绕 着 的 形状 怪 异 的 东西 。|||L' atmosphère ayant disparu , il n' entendait plus aucun son . Sous l' effet de la pression nulle , le sang des hommes se mit à bouillir et ils crachèrent leurs viscères . Bientôt , ils ne furent plus que d' étranges masses indistinctes surplombées de nuages cristallins formés par le liquide qui s' était échappé de leurs corps . 

由于 大气层 消失 ， 天空 已经 变 得 漆黑 ， 从 三体 世界 被 吸 入 太空 的 一切 反射 着 太阳光 ， 在 太空 中 构成 了 一 片 灿烂 的 星云 ， 这 星云 形成 巨大 的 旋涡 ， 流向 最终 的 归宿 —— 太阳 。|||La disparition de l' atmosphère avait obscurci le ciel . Tout ce qui flottait maintenant dans l' espace reflétait la lumière du soleil et composait une sorte de nébuleuse brillante . Cette nébuleuse se transforma en un énorme tourbillon qui s' éleva en spirale jusqu' à son ultime demeure : le soleil . 

汪淼 这时 发现 太阳 的 形状 在 变化 ， 他 马上 明白 ， 自己 实际上 是 看到 了 另外 两 颗 太阳 ， 它们 都 从 第一 颗 太阳 后面 露出 一 小 部分 ， 从 这个 方向 看 ， 三 只 叠加 的 太阳 构成 了 宇宙 中 一 只 明亮 的 眼睛 。|||Wang Miao s' aperçut que ce dernier changeait à présent de forme . Il comprit aussitôt qu' il voyait en réalité les deux autres soleils , qui révélaient derrière le premier une partie de leur silhouette . D' où il se trouvait , les trois soleils alignés figuraient l' œil flamboyant de l' univers . 

以 三 颗 太阳 的 队列 为 背景 ， 字幕 出现 ：|||Un texte apparut devant le décor de la syzygie des trois soleils : 

第184 号 文明 在 “ 三日 连 珠 ” 的 引力 叠加 中 毁灭 了 ， 该 文明 进化 至 科学 革命 和 工业革命 。|||La civilisation no 184 a été détruite sous l' accumulation des attractions gravitationnelles d' une syzygie trisolaire . Cette civilisation avait atteint l' ère de la révolution scientifique et de la révolution industrielle . 

这 次 文明 中 ， 牛顿 建立 了 低速 状态 下 的 经典力学 体系 ， 同时 ， 由于 微积分 和 冯 。|||Dans cette civilisation , Newton a formulé les principes de la mécanique classique décrivant les mouvements des corps se déplaçant à des vitesses faibles . 

诺伊曼 结构 计算机 的 发明 ， 奠定 了 对 三体 运动 进行 定量 数学 分析 的 基础 。|||Dans le même temps , grâce à l' invention du calcul infinitésimal et celle de l' architecture informatique par von Neumann , ont été posées les bases d' une analyse mathématique quantitative du mouvement des trois corps . 

漫长 的 时间 后 ， 生命 和 文明 将 重新 启动 ， 再次 开始 在 三体 世界 中 命运 其 测 的 进化 。|||Après une longue période , les graines de la civilisation seront replantées et , une fois encore , le monde si imprévisible des Trois Corps verra se poursuivre son étrange destinée . 

欢迎 再次 登录 。|||Nous vous invitons à vous reconnecter dans le futur . 

汪淼 刚刚 退出 游戏 ， 便 来 了 一个 陌生 的 电话 ， 是 一个 声音 很 有 磁性 的 男音 ： “ 您好 ， 首先 感谢 您 留下 了 真实 的 电话 ， 我 是 《 三体 》 游戏 的 系统 管理员 。 ”|||Wang Miao venait tout juste de quitter le jeu lorsqu' il reçut un appel inconnu . Il entendit une voix masculine , envoûtante : — Bonsoir . Tout d' abord je vous remercie d' avoir indiqué votre numéro de téléphone réel . 

汪淼 一阵 激动 和 紧张 。|||Le cœur de Wang Miao se mit à battre d' excitation et de nervosité . 

“ 请问 您 的 年龄 、 学历 、 工作 部门 和 职位 ， 这些 您 在 注册 时 没有 填 。 ” 管理员 说 。|||— Puis -je vous demander votre âge , votre formation scolaire , votre employeur et votre métier ? Ces informations n' apparaissent pas dans le formulaire d' inscription que vous avez rempli . 

“ 这些 与 游戏 有关 吗 ？ ”|||— Qu' est -ce que cela a à faire avec le jeu ? 

“ 您 玩 到 这个 层次 ， 就 必须 提供 这些 信息 ， 如果 拒绝 ， 《 三体 》 将 对 您 永久 关闭 。 ”|||— Arrivé à ce niveau , vous devez fournir ces informations . En cas de refus , nous clôturerons définitivement votre compte . 

汪淼如实 回答 了 管理员 的 问题 。|||Wang Miao répondit avec sincérité aux questions de l' administrateur . 

“ 很 好 ， 汪教授 ， 你 符合 继续 进入 《 三体 》 的 条件 。 ”|||— Parfait , professeur Wang . Vous remplissez les conditions pour continuer votre exploration du monde des Trois Corps . 

“ 谢谢 ， 我 可以 问 几 个 问题 吗 ？ ” 汪淼 急切 地 说 。|||— Merci , puis -je vous poser quelques questions ? demanda Wang Miao à la hâte . 

“ 不 可以 ， 不 过 明天 晚上 有 一个 《 三体 》 网友 聚会 ， 欢迎 您 参加 。 ”|||— Non . Mais demain soir a lieu une réunion de joueurs des Trois Corps , vous êtes le bienvenu . 

管理员 给 了 汪淼 一个 地址 。|||Wang Miao nota l' adresse . 

18 . 聚会|||CHAPITRE 18 : LA RÉUNION DES JOUEURS 

《 三体 》 网友 的 聚会 地点 是 一 处 僻静 的 小 咖啡厅 。|||La réunion des joueurs des Trois Corps avait lieu dans un petit café isolé , loin du centre - ville . 

在 汪淼 的 印象 中 ， 这个 时代 的 游戏 网友 聚会 都 是 人数 众多 的 热闹 盛会 ， 但 这 次 来的连 自己 在内 也 只有 七 个 人 ， 而 那 六 位 ， 同 自己 一样 ， 不 论怎 么 看 都 不 像 游戏 爱好者 。|||Wang Miao s' imaginait que les assemblées de joueurs de jeux vidéo étaient des repas animés et pleins de monde mais , ici , ils n' étaient que sept , lui compris . Comme lui , les six autres joueurs n' avaient absolument pas l' air d' être des fans de jeux vidéo . 

比较 年轻 的 只 有 两 位 ， 另外 五 位 ， 包括 一 位 女士 ， 都 是 中年人 ， 还有 一个 老者 ， 看上去 有 六七十 岁 了 。|||Seuls deux d' entre eux paraissaient relativement jeunes . Trois autres – dont une femme – étaient d' âge moyen . Le dernier , un homme , semblait avoir soixante ou soixante-dix ans . 

汪淼本 以为 大 家 一 见面 就 会 对 《 三体 》 展开 热烈 的 讨论 ， 但 现在 发现 自己 想 错 了 。|||Wang Miao s' était figuré que , dès qu' ils se verraient , ils se lanceraient aussitôt dans une discussion passionnée autour des Trois Corps , mais il dut se rendre à l' évidence : il s' était trompé . 

《 三体 》 那 诡异 而 深远 的 内涵 ， 己 对 其 参与者 产生 了 很 深 的 心理 影响 ， 使得 每个 人 ， 包括 汪淼 自己 ， 都 很 难 轻易 谈 起 它 。|||La complexité , tout comme l' étrangeté des Trois Corps , exerçait un tel impact psychologique sur les joueurs que tous – et Wang Miao ne faisait pas exception – étaient incapables d' amener facilement le sujet sur la table . 

大 家 只是 简单 地 相互 做 了 自我 介绍 ， 那位 老者 ， 掏 出 一 把 很 精致 的 烟斗 ， 装 上 烟丝 抽 了 起 来 ， 踱 到 墙边 去 欣赏 墙上 的 油画 。|||Ils se contentèrent donc dans un premier temps de brèves présentations . Le vieil homme sortit une pipe exquisément ouvragée qu' il remplit avec des feuilles de tabac . Il parcourut la pièce en fumant et en admirant les peintures accrochées au mur . 

其他人 则 都 坐 着 等待 聚会 组织者 的 到 来 ， 他们 都 来 得 早 了 。|||Les autres joueurs s' assirent silencieusement en attendant la venue de l' organisateur . Ils étaient tous arrivés en avance . 

其实 这 六 个 人 中 ， 汪淼 有 两 个 已经 认识 。|||Wang Miao connaissait en fait deux personnes sur les six . 

那位 鹤发童颜 的 老者 ， 是 一 位 著名 学者 ， 以 给 东方 哲学 赋予 现代 科学 内涵 而 闻名 。|||Le vieil homme aux cheveux blancs était un intellectuel célèbre qui s' était fait connaître en croisant la philosophie orientale avec des réflexions issues de la science moderne . 

那位 穿 着 怪异 的 女士 ， 是 著名 作 家 ， 是 少见 的 风格 前卫 却 拥有 众多 读者 的 小说 家 。|||La femme à l' accoutrement saugrenu était un écrivain célèbre , l' une des rares romancières expérimentales contemporaines bénéficiant d' un nombre élevé de lecteurs . 

她 写 的 书 ， 从 哪 一 页 开始 看 都 行 。|||L' une des particularités de ses livres était qu' on pouvait les lire à partir de n' importe quelle page . 

其他 四 位 ， 两 名 中年人 ， 一 位 是 国内 最 大 软件 公司 的 副 总裁 （ 穿 着 朴素 随意 ， 丝毫 看 不 出 来 ） ， 另 一 位 是 国 家 电力 公司 的 高层 领导 。|||Les deux hommes d' âge moyen étaient respectivement vice-président de la plus grande entreprise de logiciels informatiques du pays – même si ses vêtements négligés ne le laissaient pas deviner – et cadre supérieur dans la Compagnie nationale d' électricité . 

两 名 年轻人 ， 一 位 是 国内 大 媒体 的 记者 ， 另 一 位 是 在 读 的 理科 博士生 。|||Quant aux deux jeunes , l' un était journaliste dans une grande gazette nationale , et l' autre doctorant en sciences naturelles . 

汪淼现 在 意识 到 ， 《 三体 》 的 玩 家 ， 可能 相当 一部分 是 他们 这样 的 社会 精英 。|||Wang se fit la remarque qu' une part importante des joueurs des Trois Corps devait comme eux appartenir à l' élite intellectuelle du pays . 

聚会 的 组织者 很快 来 了 ， 汪淼 见到 他 ， 心跳 骤然 加快 ， 这 人 竟是 潘寒 ， 杀死 申玉菲 的 头号 嫌疑人 。|||L' organisateur de la réunion arriva peu après . Quand Wang Miao le vit , son cœur se mit à battre à tout rompre . Il le connaissait . C' était Pan Han , le principal suspect du meurtre de Shen Yufei . 

他 悄悄 掏 出 手机 ， 在 桌下 给 大史 发 短 信 。|||Wang Miao sortit son téléphone , le posa sur la table et envoya discrètement un message à Shi Qiang . 

“ 呵呵 ， 大 家 来 得 真 早 ！ ” 潘寒 轻松 地 打招呼 ， 似乎 什 么 事 都 没有 发生 。|||— Ah ah , très bien , je vois que tout le monde est arrivé en avance ! les salua Pan Han de manière parfaitement détendue , comme si aucun bouleversement n' était récemment intervenu dans sa vie . 

他 一 改 往常 在 媒体 上 那 副 脏 兮兮的 流浪汉 模样 ， 西装革履 ， 显得 风度翩翩 ， “ 你们 和 我 想象 的 差 不 多 ， 都 是 精英 人士 ， 《 三体 》 就 是 为 你们 这样 的 阶层 准备 的 ， 它 的 内涵 和 意境 ， 常人 难以 理解 ； 玩 它 所 需要 的 知识 ， 其 层次 之 高 ， 内容 之 深 ， 也 是 常人 不 可能 具备 的 。 ”|||Il avait délaissé les vêtements sales de vagabond qu' il arborait dans les médias pour un élégant costume deux pièces et des chaussures en cuir . — Vous êtes exactement comme je vous avais imaginés : d' une intelligence supérieure . Le jeu des Trois Corps a en effet été conçu pour des personnes de votre calibre , capables d' apprécier pleinement son contenu et son sens profond . Y jouer exige des connaissances pointues qui ne sont pas à la portée du premier venu . 

汪淼 的 短信 已经 发出 ： 见到 潘寒 。|||Wang Miao envoya son message : " Ai localisé Pan Han . 

在 西城区 云河 咖啡馆 。|||Café Rivière des Nuages / district de Xicheng " . 

潘寒 接着 说 ： “ 在座 的 各位 都 是 《 三体 》 的 优秀 玩 家 ， 成绩 最 好 ， 也 都 很 投人 。|||Pan Han poursuivit : — Vous êtes tous des joueurs de premier plan . Vous avez obtenu des scores impressionnants , et vous êtes très impliqués dans le jeu . 

我 相信 ， 《 三体 》 已 成为 你们 生活 中 的 一 部分 。 ”|||Si je ne me trompe pas , le jeu des Trois Corps est devenu pour chacun d' entre vous une partie de votre vie . 

“ 是 生命 中 的 一 部分 。 ” 那位 年轻 的 博士生 说 。|||— Absolument , il fait partie intégrante de ma vie , confirma le jeune doctorant . 

“ 我 是 从 孙子 的 电脑 上 偶然 看到 它 的 ， ” 老 哲学 家 翘 着 烟斗柄 说 ， “ 年轻人 玩 了 几 下 就 放弃 了 ， 说 太 深奥 。|||— Je l' ai découvert par hasard sur l' ordinateur de mon petit-fils , ajouta le vieux philosophe en caressant le manche de sa pipe . Le gamin a abandonné au bout de quelques parties en disant que c' était trop abstrait . 

我 却 被 它 吸引 ， 那 深邃 的 内涵 ， 诡异 恐怖 又 充满 美感 的 意境 ， 逻辑 严密 的 世界 设定 ， 隐藏 在 简洁 表象 下海量 的 信息 和 精确 的 细节 ， 都 令 我们 着迷 。 ”|||Mais moi je m' y suis laissé prendre . Ce monde imaginaire complexe , mystérieux , effrayant et à la fois plein de poésie … Sa logique , son sérieux , cette masse d' informations et de détails cachés derrière son apparence toute simple … Tout ça m' a fasciné . 

包括 汪淼 在内 的 几 位 网友 都 连连 点头 。|||Tout le monde , y compris Wang Miao , approuva d' un signe de tête . 

这时 汪淼 收到 了 大史 回 的 短信 ： 我们 也 看到 他 了 ， 没事 ， 该 干什 么 干什 么 。|||Wang Miao reçut la réponse de Shi Qiang : " Nous sommes au courant . Pas de panique . Faites ce qu' on vous demande . 

注意 ， 在 他们 面前 你 要 尽量 表现 得 极端 些 ， 但 不 要 太 过 了 ， 那样 装 不 像 。|||Jouez au fanatique , mais n' en faites pas trop pour ne pas vous faire pincer " . 

“ 是 的 ， ” 女作 家 点头 赞同 。|||— Oui , dit l' écrivain . 

“ 从 文学 角度 看 ， 《 三体 》 也 是 卓越 的 ， 那 二百零三 轮 文明 的 兴衰 ， 真是 一首首 精美 的 史诗 。 ”|||D' un point de vue littéraire aussi , Les Trois Corps est remarquable . L' histoire de l' expansion et du déclin de ces deux cent trois civilisations est digne des plus belles épopées . 

她 提到 二百零三 轮 文明 ， 而 汪淼 经历 的 是 一百九十一 轮 ， 这 让 汪淼 再次 确信 了 一 点 ： 《 三体 》 对 每个 玩 家 都 有 一个 独立 的 进程 。|||Elle avait évoqué deux cent trois civilisations , mais Wang Miao n' en était qu' à cent quatre-vingt-quatre . Cela lui apporta la confirmation que la progression dans le jeu des Trois Corps différait selon le profil du joueur . 

“ 我 对 现实 世界 真 有些 厌倦 了 ， 《 三体 》 已 成为 我 的 第二 现实 。 ” 年轻 的 记者 说 。|||— Je suis fatigué du monde réel . Le monde des Trois Corps est devenu ma deuxième réalité , dit le jeune journaliste . 

“ 是 吗 ？ ” 潘寒 很 有 兴趣 地 插 问 一 句 。|||— Vraiment ? l' interrompit Pan Han , intéressé . — Pour moi aussi . 

“ 我 也 是 ， 与 《 三体 》 相比 ， 现实 是 那 么 的 平庸 和 低俗 。 ” IT 副 总裁 说 。|||Comparée aux Trois Corps , je trouve la réalité banale et fade , ajouta le vice-président des logiciels IT . 

“ 可惜 啊 ， 只是 个 游戏 。 ” 国电 公司 领导 说 。|||— Quel dommage que ce ne soit qu' un jeu , renchérit le cadre supérieur . 

“ 很 好 。 ” 潘寒点点 头 ， 汪淼 注意 到 他 眼中 放出 兴奋 的 光 来 。|||— Très intéressant … , dit Pan Han , en hochant la tête . Wang Miao remarqua que ses yeux pétillaient d' excitation . 

“ 有 一个 问题 ， 我 想 是 我们 大 家 都 渴望 知道 的 。 ” 汪淼 说 。|||— J' ai une question , dont je suis sûr que tout le monde ici se la pose , dit Wang Miao . 

“ 我 知道 是 什 么 ， 不 过 你 问 吧 。 ”|||— Je la connais . Mais posez - la tout de même . 

潘寒说 。|||

“ 《 三体 》 仅仅 是 个 游戏 吗 ？ ”|||— Les Trois Corps n' est -il qu' un jeu ? 

网友 们 纷纷 点头 ， 显然 这 也 是 他们 急切 想 问 的 。|||Les autres joueurs acquiescèrent tous . Manifestement , cette question leur brûlait aussi les lèvres . 

潘寒 站 起 来 ， 郑重 地 说 ： “ 三体 世界 是 真实 存在 的 。 ”|||Pan Han se leva et annonça avec gravité : — Le monde des Trois Corps – Trisolaris – existe réellement . 

“ 在 哪 里 ？ ” 几 个 网友 异口同声 地 问 。|||— Où est -il ? demandèrent d' une même voix ébahie plusieurs joueurs . 

潘寒 坐下 ， 沉默 良久 才 开口 ： “ 有些 问题 我 能够 回答 ， 有些 不 能 ， 但 如果 各位 与 三体 世界 有 缘 ， 总 有 一 天 所有 的 问题 都 能 得到 解答 。 ”|||Pan Han s' assit et laissa passer un long silence avant de reprendre la parole : — Je peux répondre à certaines de vos questions , mais pas à toutes . Si votre destin est lié à celui de Trisolaris , un jour viendra forcément où vous obtiendrez les réponses à toutes vos interrogations . 

“ 那 么 ， 游戏 中 是 否 表现 了 三体 世界 的 某些 真实 成分 呢 ？ ” 记者 问 。|||— Mais alors , le jeu est -il une représentation réaliste de ce monde de Trisolaris ? demanda le journaliste . 

“ 首先 ， 在 很多 轮 文明 中 ， 三体人 的 脱水 功能 是 真实 的 ， 为 了 应对 变幻莫测 的 自然环境 ， 他们 随时 可以 将 自己 体内 的 水分 完全 排 出 ， 变成 干燥 的 纤维 状 物体 ， 以 躲 过 完全 不 适合 生存 的 恶劣 气候 。 ”|||— Premièrement , la capacité des Trisolariens à se déshydrater , comme vous avez pu l' observer dans beaucoup de civilisations , est réelle . C' est grâce à cette technique qu' ils peuvent s' adapter à un environnement naturel imprévisible . Ils sont à tout moment capables de se vider de l' eau de leurs corps et de devenir des entités sèches et fibreuses pour échapper à un climat hostile . 

“ 三体人 是 什 么 样子 的 ？ ”|||— À quoi ressemblent les Trisolariens ? 

潘寒摇 摇头 ： “ 不 知道 ， 真 的 不 知道 。|||Pan Han secoua la tête : — Je l' ignore . Je l' ignore réellement . 

每 一 轮 文明 中 ， 三体人 的 外形 都 完全 不 同 ， 另外 ， 游戏 中 还 反映 了 一个 三体 世界 中 的 真实 存在 ： 人列 计算机 。 ”|||L' apparence des Trisolariens change à chaque nouveau cycle de civilisation . Par ailleurs , le jeu reflète aussi un autre élément réel de Trisolaris : le fameux ordinateur à grande échelle . 

“ 哈 ， 我 觉得 那 是 最 不 真实 的 ！ ”|||— Ha ! Ha ! Je trouvais au contraire que c' était ce qu' il y avait de moins réaliste ! s' exclama le vice-président d' IT . 

IT 副 总裁 说 ， “ 我 用 公司 的 上百 名 员工 进行 过 一个 简单 的 测试 ， 即使 这 想法 真 能 实现 ， 人列 计算机 的 运算 速度 可能 比 一个 人 的 手工 计算 都 慢 。 ”|||J' ai effectué un petit test dans mon entreprise en faisant participer plus d' une centaine de mes employés . Même si l' idée paraît réalisable , la vitesse de calcul d' un ordinateur humain est encore plus lente qu' un banal calcul mental ! Pan Han répondit par un sourire énigmatique : 

潘寒露 出 神秘 的 笑容 说 ： “ 不 错 ， 但 假如 构成 计算机 的 三千万 个 士兵 ， 每个 人 在 一 秒 钟 内 可以 挥动 黑白 小 旗 十万 次 ， 总线 上 的 轻骑兵 的 奔跑 速度 是 几 倍 音速 甚至 更 快 ， 结果 就 不 一样 了 。|||— Vous avez raison . Mais imaginez à présent que les trente millions de soldats formant cet ordinateur soient capables d' agiter leurs drapeaux noirs et blancs cent mille fois par seconde . Supposez encore que la cavalerie qui sert de canal de communication puisse galoper à une vitesse bien plus grande que la vitesse du son , voire plus rapidement encore . Les résultats ne seraient pas les mêmes . 

你们 刚才 问 过 三体人 的 外形 ， 据 一些 迹象 推测 ， 构成 人 列 计算机 的 三体人 ， 外表 可能 覆盖 着 一 层 全 反射 镜面 ， 这种 镜面 可能 是 为 了 在 恶劣 的 日照 条件 下 生存 而 进化 出 来 的 ， 镜面 可以 变化 出 各种 形状 ， 他们 之间 就 通过 镜面 聚焦 的 光线 来 交流 ， 这种 光线 语言 信息 传输 的 速度 是 很 快 的 ， 这 就 是 人列 计算机 得以 存在 的 基础 。|||Des indices portent à croire que le corps des Trisolariens qui composent l' ordinateur est couvert d' une surface purement réflexive , comme un miroir . Cette particularité est peut-être une évolution naturelle leur permettant de survivre à des conditions solaires extrêmes . Cette surface en miroir peut prendre des formes différentes et les Trisolariens parviennent à communiquer entre eux grâce à la focalisation de la lumière sur leurs corps . Ce langage basé sur la lumière leur permet de transmettre des informations à une vitesse exceptionnelle et c' est cette singularité qui garantit la grande efficacité de l' ordinateur . 

当然 ， 这 仍 是 一 台 效率 很 低 的 机器 ， 但 确实 能够 完成 人类 手工力 不 能 及 的 运算 。|||Bien entendu , ce dispositif reste très imparfait , mais il a effectivement été capable de mener à bien des calculs qui auraient été impossibles à réaliser manuellement . 

计算机 在 三体 世界 首先 确实 是 以 人 列 形式 出现 ， 然后 才 是 机械式 和 电子式 的 。 ”|||Dans le monde trisolarien , les ordinateurs sont d' abord apparus sous la forme de formations collectives avant de devenir mécaniques , puis électroniques . Pan Han se leva . 

潘寒 站 起 来 ， 围 着 网友 们 的 背后 踱步 ： “ 我 现在 能 告诉 大 家 的 只 是 ： 作为 一个 游戏 ， 《 三体 》 只是 借用 人类 的 背景 来 模拟 三体 世界 的 发展 ， 这样 做 只是 为 游戏者 提供 一个 熟悉 的 环境 ， 真实 的 三体 世界 与 游戏 中 的 差别 很 大 ， 但 其中 三 颗 太阳 的 存在 是 真实 的 ， 这 是 三体 世界 自然 结构 的 基础 。 ”|||— Voici ce que je peux vous dire : en tant que jeu , Les Trois Corps utilise le cadre de l' histoire humaine pour simuler le développement du monde de Trisolaris . Si le jeu a été ainsi imaginé , c' est pour que les joueurs puissent appréhender son environnement de façon plus familière . Les différences entre Trisolaris et le monde des Trois Corps que vous avez découvert dans le jeu sont en réalité immenses . 

“ 开发 这个 游戏 肯定 花费 了 很 大 的 力量 ， 但 它 的 目 的 显然 不 是 盈利 。 ” IT 副 总裁 说 。|||— Le développement du jeu a dû demander beaucoup d' efforts . Mais son objectif n' est clairement pas celui de la rentabilité , fit remarquer le vice-président . 

“ 《 三体 》 游戏 的 目 的 很 单纯 ， 就 是 为 了 聚集 起 我们 这样 志同道合 的 人 。 ” 潘寒说 。|||— Le but du jeu des Trois Corps est simple : réunir ceux qui , comme nous , nourrissent des idéaux communs , répondit Pan Han . 

“ 什 么 志 和什 么 道 呢 ？ ”|||— Quels idéaux ? 

汪淼问 ， 但 旋即 有些 后悔 ， 仔细 想 着 自己 的 问题 是 否 露出 了 些许 的 敌意 。|||Qu' avons -nous en commun ? demanda Wang Miao avant de regretter aussitôt sa question . Il se demanda si le ton de sa voix avait trahi une quelconque animosité . 

这个 问题 果然 令 潘寒沉默 下 来 ， 他 用 意味深长 的 目光 逐个 将 在座 的 每个 人 打量 一 遍 ， 轻轻 地 说 ： “ 如果 三体 文明 要 进入 人类 世界 ， 你们 是 什 么 态度 ？ ”|||Comme il l' avait prévu , sa question plongea Pan Han dans le silence . Ce dernier examina du regard tous les joueurs , puis il s' adressa à eux d' une voix douce : — Quelle serait votre réaction si la civilisation trisolarienne devait un jour pénétrer dans notre monde ? 

“ 我 很 高兴 ， ” 年轻 的 记者 首先 打破 沉默 说 ， “ 这些 年 看到 的 事 ， 让 我 对 人类 已经 失望 了 ， 人类 社会 已经 无力 进行 自我 完善 ， 需要 一个 外部 力量 的 介入 。 ”|||— J' en serais ravi , répondit le jeune journaliste . Les événements de ces dernières années m' ont fait perdre tout espoir dans l' espèce humaine . Les sociétés humaines sont dans l' incapacité de progresser d' elles - mêmes , elles ont besoin de l' intervention d' une force extérieure . 

“ 同意 ！ ” 女作 家 大声 说 ， 她 很 激动 ， 似乎 终于 找到 了 一个 发泄 某种 东西 的 机会 ， “ 人类 是 什 么 ？|||— Je suis d' accord ! cria l' écrivain à haute voix et avec une émotion manifeste , comme si elle trouvait enfin une occasion d' épancher librement ses sentiments . Qu' est -ce que l' humanité ? 

多 么 丑恶 的 东西 ， 我 上半生 一直 在 用 文学 这 把 解剖 刀 来 揭露 这种 丑恶 ， 现在 连 这种 揭露 都 厌倦 了 。|||Une race abjecte ! J' ai passé la moitié de ma vie à utiliser la littérature comme scalpel pour disséquer cette abjection . Je suis fatiguée à présent . 

我 向往 着 三体 文明 能 把 真正 的 美带 到 这个 世界 上 来 。 ”|||Je place tous mes espoirs dans la civilisation trisolarienne pour apporter la vraie beauté à ce monde . 

潘寒 没有 说话 ， 那种 兴奋 的 光芒 又 在 双 眼中 亮 起 来 。|||Pan Han n' avait encore rien dit , mais le pétillement de ses yeux traduisait la même excitation . 

