第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
大地上，已脱水和未脱水的人都燃烧起来，像无数扔进炉膛的柴火，其火焰的光芒比炉膛中燃烧的碳块都亮，但很快就熄灭了。	Sur terre, les hommes déjà déshydratés comme ceux qui ne l'étaient pas encore s'embrasèrent comme des allumettes jetées dans une fournaise. Ils furent consumés par des flammes d'une intensité plus grande encore que celle du charbon brûlant, mais ils s'éteignirent rapidement.
巨日迅速上升，很快升到了正空，遮盖了大部分天空。	Le gigantesque soleil continua sa rapide progression et le ciel fut presque entièrement recouvert lorsqu'il atteignit son zénith.
汪淼仰头看去，感觉突然间发生了奇妙的变化：这之前他是在向上看，现在似乎是在向下看了。	Wang Miao leva la tête. Un bouleversement extraordinaire s'était produit : ce qu'il voyait jusqu'alors au-dessous de lui était passé au-dessus.
巨日的表面构成了火焰的大地。	La surface du soleil était devenue une terre incandescente.
他感觉自已正向这灿烂的地狱坠落！	Il eut la sensation de chuter dans cet enfer flamboyant.
大地上的湖泊开始蒸发，一团团雪白的水蒸汽成蘑菇云状高高升起，接着弥散开来，遮盖了湖边人类的骨灰。	Sur la terre, les lacs commencèrent à s'évaporer, des nuages de vapeur blanche de la forme de champignons nucléaires s'élevèrent, avant de se disperser en recouvrant les amas de cendres humaines bordant les lacs.
“恒纪元将继续，宇宙是一台机器，我造出了这台机器；恒纪元将继续，宇宙是……”	— L'ère régulière va continuer, l'univers est une machine, j'ai créé cette machine. L'ère régulière va continuer, l'univers est…
汪淼扭头一看，这声音是从正在燃烧的墨子发出来的，他的身体包含在一根高高的橘黄色火柱之中，皮肤在发皱和炭化，但双眼仍发出与吞噬他的火焰完全不同的光芒。	Wang Miao tourna la tête. La voix était celle de Mozi, qui était en train de prendre feu. Son corps se retrouva prisonnier d'une longue colonne de feu orangé. Sa peau était déjà ridée et carbonisée, mais ses yeux émettaient encore une lueur différente de celle des flammes en train de l'engloutir.
他那已成为燃烧的炭杆的双手捧着一团正在飞散的绢灰，那是第一份万年历。	Ses mains, déjà changées en tiges de carbone brûlantes, serraient encore un fragment de soie grise dont les cendres papillonnaient au vent : les restes du premier calendrier astronomique.
汪淼自己也在燃烧，他举起双手，看到了两根火炬。	Wang Miao brûlait lui aussi. Il leva ses mains et vit deux torches enflammées.
巨日很快向西移去，让出被它遮住的苍弯。	Le gigantesque soleil se déplaça rapidement vers l'ouest, laissant à nouveau voir le ciel qu'il avait jusque-là dissimulé.
沉没于地平线下，下沉的过程很快，大地似乎又沿着那堵光墙升起。	Bientôt, il s'immergea derrière l'horizon et la terre parut remonter le long de la muraille de feu.
耀眼的晚霞转瞬即逝，夜幕像被一双巨手拉扯的大黑布般遮盖了已化为灰烬的世界。	Les rayons étincelants du crépuscule disparurent alors et la nuit, telle une toile noire tirée par des mains de géant, enveloppa le monde devenu cendres.
刚刚被烧灼过的大地在夜色下发着暗红色的光，像一块从炉中夹出来不久的炭块。	La terre émit un halo rouge sombre, comme une braise de charbon tout juste sortie d'un four.
汪淼在夜空中看到群星出现了一小会儿，很快，水汽和烟雾遮住了天空，也遮住了处于红炽状态的大地上的一切，世界陷入一片黑暗的混沌之中。	Pendant un bref instant, Wang Miao put voir quelques étoiles mais, très vite, la vapeur d'eau et la brume envahirent le ciel et recouvrirent la terre rutilante. Le monde fut englouti par les ténèbres du chaos.
一行红色的字出现：	Un texte en caractères rouges s'afficha sur l'écran :
第141号文明在烈焰中毁灭了。 该文明进化至东汉层次。	La civilisation no 141 a été détruite par les flammes, elle avait atteint la période des Han de l'Est.
文明的种子仍在。 她将重新启动。 再次开始在三体世界中命运莫测地进化，欢迎您再次登录。	Mais les graines de la civilisation ont survécu et une nouvelle civilisation germera des ruines du monde si imprévisible des Trois Corps. Nous vous invitons à vous reconnecter dans le futur.
汪淼摘下V装具，精神上的震撼稍稍平息后，又一次有了那种感觉：《三体》是故意伪装成虚假，但拥有巨大纵深的真实；而眼前的真实世界，倒像一幅看似繁复庞杂实则单薄表浅的《清明上河图》。	Wang Miao ôta sa V-combinaison. Après avoir peu à peu repris ses esprits, il eut une nouvelle fois le sentiment que, sous ses prétentions de fiction, le jeu des Trois Corps faisait preuve d'un profond réalisme et que, l'inverse, c'était le monde réel devant ses yeux qui lui apparaissait comme la peinture Le Jour de Qingming au bord de la rivière : complexe en surface mais si simple en vérité.
第二天汪淼去纳米中心上班，除了因他昨天没来导致的一些小小的混乱外，一切如常。	Le lendemain, Wang Miao retourna travailler au Centre de recherches en nanotechnologie. En dehors de quelques problèmes mineurs dus à son absence de la veille, tout était en parfait état de marche.
他发现工作是一种有效的麻醉剂，投身于其中，就暂时躲开了那噩梦般的困扰。	Il se rendit compte qu'une fois qu'il était absorbé par le travail, celui-ci lui faisait l'effet d'un anesthésique et ses cauchemars le laissaient provisoirement tranquille.
一整天他有意使自己保持忙碌状态，天黑后才离开实验室。	Il s'efforça de s'occuper la journée entière et ne quitta le laboratoire qu'une fois la nuit tombée.
一走出纳米中心的大楼，汪淼又被那噩梦的感觉追上了，他觉得布满群星的夜空像一面覆盖一切的放大镜，他自己是镜下的一只赤·裸的小虫，无处躲藏。	Dès qu'il eut passé le hall d'entrée du centre, Wang Miao se retrouva avec la sensation d'être à nouveau pourchassé par ses démons. Il avait l'impression que le ciel étoilé était surmonté d'une loupe et qu'il était un insecte nu sous la lentille de cette loupe, dans l'incapacité de lui échapper.
他必须再为自己找些事情做，想到应该再去看看杨冬的母亲了，就驱车来到了叶文洁家。	Il devait absolument trouver quelque chose à faire et il se dit qu'il pourrait aller rendre visite à la mère de Yang Dong. Il conduisit donc jusqu'à son domicile.
杨母一个人在家，汪淼进去时她正坐在沙发上看书，他这才发现她的眼睛既老花又近视，看书和看远处时都要换戴眼镜。	Ye Wenjie était seule. Lorsque Wang Miao entra chez elle, elle était en train de lire sur son canapé. Il s'aperçut qu'elle était à la fois myope et presbyte et qu'elle avait dû changer de lunettes pour lire.
杨母见到汪淼很高兴，说他的气色看上去比上次好多了。	Elle fut ravie de voir Wang Miao, et fit remarquer qu'il avait bien meilleure mine que la dernière fois.
“都是因为您的人参。” 汪淼笑笑说。	— Grâce à votre ginseng ! sourit Wang Miao. La mère de Yang Dong secoua la tête :
杨母摇摇头，“那东西成色不好，那时，在基地周围能采到很好的野山参。	— Celui que je t'ai donné n'était pas de très bonne qualité. À l'époque je ramassais de l'excellent ginseng de montagne aux alentours de la base.
我采到过一枝有这么长的……不知现在那里怎么样，听说已经没有人了。	Un jour j'ai trouvé une racine grande comme ça… Je ne sais pas comment c'est maintenant là-bas. J'ai entendu dire que c'était désert.
唉，老了，最近总是在想以前的事。”	Ah, je vieillis… Ces derniers temps, je n'arrête pas de penser au passé.
“听说在‘文革’中，您吃过不少苦。”	— On m'a raconté que vous aviez subi beaucoup d'épreuves durant la Révolution culturelle.
“听小沙说的吧？”	— C'est Ruishan qui t'en a parlé ?
杨母轻轻摆摆手，像拂去面前的一根蛛丝，“过去了，都过去了……昨天小沙来电话，急匆匆的，说些什么我也听不明白，只听出来你好像遇到什么事。	(Ye Wenjie secoua les mains, comme si elle voulait chasser une toile d'araignée devant ses yeux. ) C'est du passé, tout est du passé… Hier soir, Ruishan m'a appelé. Il avait l'air paniqué, je n'ai pas compris ce qu'il me racontait. J'ai seulement entendu qu'il t'était arrivé quelque chose.
小汪啊，其实，你到了我这个年纪，就会发现当年以为天要塌下来的那些大事，其实没有什么的。”	Ah, quand tu auras mon âge, tu comprendras que toutes ces choses que tu croyais importantes n'étaient en fait pas si extraordinaires.
“谢谢您。”	— Merci, dit Wang Miao.
汪淼说，他又感到了那种难得的温暖。	Il y avait bien longtemps qu'il n'avait pas été parcouru par une telle vague de chaleur.
现在，眼前这位历经沧桑变得平静淡泊的老人，和那位无知而无畏大史，成了他摇摇欲坠的精神世界的两根支柱。	À présent, cette vieille femme qui avait enfin trouvé la paix après tant d'épreuves et l'ignorant, le téméraire commissaire Shi Qiang étaient devenus les deux piliers qui empêchaient encore son esprit de tomber en ruine.
杨母接着说：“说起‘文革’，我还是很幸运的，在活不下去的时候，竟意外地到了一个能活下去的地方。”	Ye Wenjie reprit : — En parlant de Révolution culturelle, j'ai quand même eu beaucoup de chance. Au moment où je pensais que j'allais mourir, j'ai trouvé un refuge où j'ai pu continuer à vivre.
“您是说红岸基地吗？”	— Vous voulez parler de la base de Côte Rouge ?
杨母点点头。	Ye Wenjie acquiesça.
“那真是件不可思议的事情，我最初还以为纯属传说呢。”	— C'était un projet extraordinaire, je croyais que ce n'était qu'une pure légende.
“不是传说，要是想知道，我给你讲讲自己经历过的那些事。”	— Ce n'est pas une légende. Si tu le souhaites, je peux te raconter ce que j'ai vécu.
杨母这一说令汪淼有些紧张。	Wang Miao se sentit un peu nerveux :
“叶老师，我只是好奇而己，要是不方便就算了。”	— Professeur Ye, je suis simplement curieux. Ne vous sentez pas forcée de m'en parler.
“哦，没什么的，就当我找人说说话吧，我这阵子也确实想找人说说话。”	— Oh, ce n'est rien. C'est une bonne occasion de papoter, cela fait bien longtemps que je n'ai pas vraiment parlé à quelqu'un.
“您可以到老年活动室什么的去坐坐，多走动走动总是不寂寞。”	— Vous devriez participer aux activités d'un cercle du troisième âge. On se sent moins seul quand on est actif.
“那些退休的老家伙们好多都是我在大学的同事，但总是同他们融不到一块儿。	— J'y retrouverais peut-être de nombreux anciens collègues de l'université, mais je ne suis jamais arrivée à me fondre dans leur communauté.
大家都喜欢念念叨叨地回忆往事，但都希望别人听自己的，而对别人说的都厌烦。	Tout le monde aime ressasser ses souvenirs, mais seulement dans l'espoir qu'on les écoutera. Les souvenirs des autres les agacent.
红岸那些事，也就你感兴趣了。”	Il n'y a que toi que cette histoire de Côte Rouge peut bien intéresser.
“现在说总还是有些不方便吧？”	— Mais n'est-ce pas dangereux pour vous de parler de cela maintenant ?
“那倒是，毕竟还属于机密。	— C'est vrai, après tout, le projet était confidentiel.
不过那本书出了以后，许多亲历过的人也都在说，都是公开的秘密了。	Mais les langues se sont déliées après la publication de ce livre. C'est devenu un secret de Polichinelle.
写那本书的人很不负责任，他的目的先放到一边，书中的许多内容也与事实有很大出入，纠正一下也是应该的。”	L'auteur a vraiment été irresponsable. Sans parler de ses intentions, beaucoup d'informations et de faits rapportés dans l'ouvrage sont faux. Je me dois au moins d'y apporter des corrections.
于是，杨母向汪淼讲述了那段还未尘封的往事。	Et ainsi, Ye Wenjie commença à raconter cette histoire encore vivace dans sa mémoire.
12.红岸之二	CHAPITRE 12:CÔTE ROUGE II
刚进入红岸基地时，叶文洁没有被分配固定工作，只是在一名安全人员的监视下干一些技术上的杂事。	À son entrée dans la base de Côte Rouge, Ye Wenjie ne fut pas assignée à un poste fixe. Elle n'effectuait que quelques tâches d'ordre purement technique et toujours sous la surveillance d'un gardien.
早在上大二时，叶文洁同后来的研究生导师就很熟悉。	Des années plus tôt, alors qu'elle était en deuxième année à l'université, Ye Wenjie s'entendait bien avec le professeur qui était par la suite devenu son directeur de recherches en troisième cycle.
他对叶文洁说，研究天体物理学，如果不懂实验技术，没有观测能力，理论再好也没有用，至少在国内是这样。	Il lui avait signifié que, pour mener des recherches dans le domaine de l'astrophysique, être excellent en théorie était inutile sans connaissance des méthodes expérimentales ni capacité d'observation – du moins, c'était le cas pour la Chine.
这与她父亲的观点倒是大相径庭。 但叶文洁是倾向于同意这种看法的，她总感觉父亲太理论了。	C'était une vision qu'était loin de partager son père, mais Wenjie avait plutôt tendance à donner raison à son professeur : elle avait toujours trouvé que son père était un homme trop théorique.
导师是国内射电天文学的开创者之一，在他的影响下，叶文洁也对射电天文产生了浓厚的兴趣，她因此自学了电子工程和计算机专业（注：当时在大部分院校，这两个专业是一体的），这是该学科实验和观测的技术基础。	Son professeur avait été l'un des pionniers de la radioastronomie en Chine, c'était sous son influence que Wenjie avait développé un profond intérêt pour cette branche de l'astronomie, et qu'elle avait appris en autodidacte le génie électrique et les sciences de l'informatique – deux disciplines souvent regroupées ensemble dans les universités de l'époque et qui constituaient les fondements techniques des expériences et des observations scientifiques.
在读研究生的两年中，她同导师一起调试国内第一台小型射电望远镜，又积累了不少这方面的经验。	Durant ses deux années de troisième cycle, elle et son professeur avaient eu l'occasion de tester le premier petit radiotélescope chinois. Elle avait ainsi accumulé beaucoup d'expérience dans ce domaine.
没有想到，她的这些知识竟在红岸基地派到了用场。	Elle ne s'était pas imaginé que ces connaissances trouveraient un jour leur utilité dans la base de Côte Rouge.
叶文洁最初在发射部做设备维护和检修，很快成了发射部不可缺少的技术骨千，这让她有些不解。	Wenjie commença par être affectée aux tâches d'entretien et de réparation au sein de l'unité de transmission, mais très vite, elle devint un élément essentiel de toutes les opérations menées par l'unité. Cela la rendit tout d'abord quelque peu perplexe.
她是基地里唯一不穿军装的人，更由于她的身份，所有人都同她保持距离，这使得她只能全身心投入工作中以排遣孤寂。	Elle était la seule personne de la base à ne pas porter d'uniforme militaire et, en raison de son identité, les gens gardaient avec elle une certaine distance. Sa seule manière d'échapper à la solitude était de s'immerger corps et âme dans le travail.
但这也不足以说明问题，这毕竟是国防重点工程，难道这里的技术人员就那么平庸，非要让她这个非工科出身也没有工作经验的人轻易代替吗？	Mais cela ne suffisait pas à expliquer pourquoi elle s'était rendue aussi vite indispensable. Après tout, Côte Rouge était un projet clef de défense nationale. Comment se faisait-il que les ingénieurs de la base soient médiocres au point qu'une personne comme elle, non formée en ingénierie et sans expérience, arrive à les remplacer si facilement ?
她很快发现了一些原因。	Elle en découvrit bientôt la raison.
与表面看到的相反，基地配备的都是二炮部队最优秀的技术军官，这些卓越的电子和计算机工程师，她再学一辈子可能也赶不上。	Contrairement à ce qu'ils laissaient croire, les employés de la base étaient bien les meilleurs ingénieurs du 2e corps d'artillerie. Une vie entière n'aurait pas suffi à Wenjie pour emmagasiner toutes leurs connaissances en électrique et en informatique.
但基地地处偏僻，条件很差。	Mais la base était loin de tout et les conditions de travail y étaient déplorables.
而且红岸系统的主要研制工作己经结束，只是运行和维护。 在技术上也没有什么做出成果的机会，大多数人都不安心工作，他们知道，在这种最高密级的项目里，一旦进入技术核心岗位，就很难调走。	Les principales recherches sur le projet étant achevées, il ne restait plus que des travaux de maintenance et de réparation, si bien que les opportunités d'accomplir une avancée technologique majeure étaient très rares. Par conséquent, la plupart des ingénieurs s'efforçaient de ne pas paraître indispensables car, dans une base aussi secrète, dès que vous rejoigniez le cœur de la partie technique, il était quasiment impossible d'en sortir.
所以人们在工作中都故意将自己的能力降低很多，但还不能表现落后，于是领导指挥向东，他就卖力气地向西，故意装傻，指望领导产生这样的想法：这人也尽力了，但就这么点能力和水平，留他没什么用，反而碍手碍脚的。	Ils essayaient donc délibérément de dissimuler leurs techniques, en se gardant toutefois de donner l'impression d'être trop incompétents. Ainsi, lorsqu'un technicien supérieur leur disait d'aller à l'est, ils s'obstinaient bêtement à aller à l'ouest, de sorte que les responsables se disent : Ce garçon est persévérant, mais il n'a pas les compétences requises, le garder serait contre-productif.
许多人真的这样成功地调离了。	Grâce à cette stratégie, beaucoup avaient réussi à être mutés ailleurs.
在这种情况下，叶文洁不知不觉中成了基地的技术中坚。	Dans ces conditions, Ye Wenjie était, malgré elle, devenue une des techniciennes les plus importantes de la base.
但走到这个位置的另一个原因却令她百思不得其解：红岸基地至少在她接触的部分，没有什么真正意义上的先进技术。	Mais une autre raison expliquait la rapidité avec laquelle elle avait acquis ce statut : de ce qu'elle pouvait en voir, la base de Côte Rouge ne possédait en fait aucune réelle technologie de pointe.
进入基地后。	Comme lors de son entrée dans la base,
叶文洁主要在发射部工作，随着时间的推移，对她的限制渐渐放松，那名时刻陪着她的监视人员也取消了，她可以接触红岸系统的大部分结构。	Ye Wenjie continuait à être principalement affectée à l'unité de transmission, mais au fil du temps, les restrictions la concernant se relâchèrent progressivement, et le gardien qui veillait sur elle fut rappelé.
也可以阅读相应的技术资料。	Elle était à présent autorisée à avoir un accès direct à la plupart des structures du système d'armement de la base de Côte Rouge et à lire les documents techniques connexes.
当然，禁止她接触的东西还是有的，比如计算机控制部分，就绝刘禁止她走近。	Naturellement, il y avait encore des domaines qui lui étaient interdits, comme toute la plateforme de contrôle informatique.
但叶文洁后来发现，那一部分对红岸系统的作用远没有她以前想象的那么大。	Mais Wenjie découvrit plus tard que cette branche n'avait pas l'importance qu'elle avait imaginée.
比如发射部的计算机，是三台比DJS130还落后的设备。 使用笨重的磁心存贮器和纸带输入，最长的无故障小时数不超过十五小时。	Elle en voulait pour preuve le fait que les ordinateurs de l'unité de transmission étaient encore plus anciens que les DJS 130 et possédaient une mémoire à tores magnétiques et des rubans perforés. Le record du nombre d'heures passées sans dysfonctionnement des appareils ne dépassait pas quinze heures.
她还看到过红岸系统的瞄准部分，精度很低，可能还不如一门火炮的瞄准装具。	Elle avait aussi découvert que la précision du système de ciblage des transmissions était très limitée, peut-être même pas celle d'un viseur de canon d'artillerie.
这天，雷政委又找叶文洁谈话。	Ce jour-là, le commissaire politique Lei Zhicheng vint trouver Wenjie pour discuter.
现在，在她的眼中，杨卫宁和雷志成换了个位置。	Elle avait l'impression que Yang Weining et Lei Zhicheng avaient changé de rôle.
在这个年代，作为最高技术领导的杨卫宁在政治上的地位并不高，离开技术就没有什么权威了。	Yang Weining n'était que l'ingénieur en chef du projet, il n'avait pas de position politique très élevée et, en dehors des domaines purement techniques, il n'avait aucune autorité.
对部下也只能小心翼翼的，连对哨兵说话都要客气些，否则就是知识分子对“三结合/”和思想改造的态度问题。	Il devait se méfier des techniciens et se montrer poli avec les soldats placés en sentinelle, car on l'aurait accusé de trahir la Triple Alliance ou de freiner le progrès de la pensée.
于是，遇到工作上不顺心的时候，叶文洁就成了他唯一的出气筒。	C'est ainsi que, dès qu'il rencontrait des difficultés, il se servait de Wenjie comme d'un punching-ball.
但随着叶文洁在技术上变得越来越重要。 雷政委渐渐改变了最初对她的粗暴和冷漠，变得和蔼起来。	À l'inverse, l'importance croissante que celle-ci prenait dans les opérations techniques avait modifié le regard que portait sur elle le commissaire Lei. Jadis froid et agressif, il faisait maintenant preuve de sollicitude à son égard.
“小叶啊，到了现在，对发射系统这块你已经很熟悉了，这也是红岸系统的攻击部分，是它的主体，说说你对这套系统的整体看法？”	— Wenjie, depuis le temps que tu es ici, tu as pu te familiariser avec le système de transmission. Il s'agit de la structure offensive de Côte Rouge, son unité principale. Pourrais-tu me donner ton avis sur le système dans son ensemble ? demanda le commissaire politique Lei.
雷政委说，他们这时坐在雷达峰的那道悬崖前，这里是基地最僻静的所在。	Ils étaient alors assis au bord de la falaise abrupte du pic du Radar. C'était l'endroit le plus paisible de toute la base, la falaise droite semblait donner sur un abysse sans fond.
那笔直的绝壁似乎深不见底，最初令叶文洁胆战心惊，但现在她很喜欢一个人到这里来。	Ce panorama faisait peur au début à Wenjie, mais elle s'y était habituée et, maintenant, elle aimait venir seule ici.
对雷政委的问话，叶文洁有些不知所措。	Wenjie ne savait pas vraiment comment répondre à la question de Lei Zhicheng.
她只负责设备的维护和维修，对红岸系统的整体情况，包括它的作用方式、攻击目标等，一概不知，也不允许她知道，每次常规发射她都不能在场。	Elle ne s'occupait que d'entretien et de réparation et ignorait tout du système global de la base militaire de Côte Rouge, y compris quelles étaient ses cibles et ses opérations. Il ne lui était d'ailleurs même pas permis d'assister aux transmissions ordinaires.
她想了想，欲言又止。	Elle réfléchit, voulut dire quelque chose mais finit par s'abstenir.
“大胆说吧。 没关系。” 雷政委扯下身边的一根草手里摆弄着说。	— Ne crains rien, dis ce que tu as sur le cœur, dit le commissaire en ramassant un brin d'herbe et en jouant avec distraitement.
“它……不过就是一台无线电发射机嘛。”	— Ce… ce n'est ni plus ni moins qu'un transmetteur radio.
“不错，它就是一台无线电发射机。” 雷政委满意地点点头，“你知道微波炉吗？”	— Exactement, c'est un transmetteur radio, dit le commissaire en opinant de la tête d'un air satisfait. As-tu déjà entendu parler des fours micro-ondes ?
叶文洁摇摇头。	Wenjie fit non de la tête.
“西方资产阶级的奢侈玩意儿，用微波被吸收后产生的热效应加热食物。	— C'est un nouveau jouet de luxe des classes bourgeoises occidentales. Il cuit les aliments en utilisant l'effet chauffant généré par l'action des micro-ondes sur les molécules d'eau.
我以前在的那个研究所，为了精密测试某种元件的高温老化，从国外进口了一台。	Dans mon ancien institut de recherches, nous en avions importé un de l'étranger pour calculer avec précision l'usure à haute température de certains composants.
我们下了班也用它热馒头、烤土豆。	Après le travail, nous l'utilisions pour réchauffer nos pains à la vapeur et pour faire cuire des pommes de terre.
很有意思，里面先热，外头还是凉的。”	C'est très intéressant, les aliments sont chauds à l'intérieur alors qu'ils sont encore froids à l'extérieur.
雷政委说着站了起来，来回踱步，他走得如此贴近悬崖边缘，令叶文洁十分紧张，“红岸系统就是一台微波炉，加热的目标是敌人在太空中的航天器。	Le commissaire politique Lei s'était levé. Il continuait à parler en marchant si près du bord de la falaise qu'il rendait Wenjie anxieuse. — Côte Rouge est un four à micro-ondes. Les cibles que nous voulons cuire, ce sont les engins spatiaux ennemis.
只要达到0.1～1瓦/平方厘米的微波能量辐射，就可直接使卫星通信、雷达、导航等系统的微波电子设备失效或烧毁。”	Un simple rayonnement micro-onde de 0,1 à 1 watt par centimètre carré suffirait à mettre hors d'usage ou à brûler les composants électroniques des satellites de communication, des radars ou des systèmes de navigation.
叶文洁恍然大悟。	Tout s'éclairait soudain dans l'esprit de Ye Wenjie.
红岸系统虽然只是一台电波发射机，但并不等于它就是个寻常之物，最令她吃惊的是它的发射功率，竟然高达二十五兆瓦！	Le système de Côte Rouge n'était certes qu'un transmetteur radio, mais cela ne voulait pas dire que c'était un transmetteur ordinaire. Ce qui la surprenait le plus, c'était sa puissance de transmission : elle pouvait atteindre 25 mégawatts !
这不仅远大于所有的通讯发射功率，也大于所有的雷达发射功率。	C'était non seulement beaucoup plus que tous les transmetteurs de communication existants, mais aussi que tous les transmetteurs radars.
红岸系统由一组庞大的电容提供发射能量，由于功率巨大，它的发射电路也与常规的有很大不同。	L'énergie de transmission de Côte Rouge lui était fournie par un ensemble de gigantesques condensateurs. Du fait de sa puissance, ses circuits de transmission étaient bien différents des circuits traditionnels.
叶文洁现在明白了这种超大发射功率的用途，但她立刻想到了个问题。	Wenjie comprenait maintenant l'utilisation de ces transmetteurs à haute puissance. Cependant une autre question lui vint à l'esprit :
“系统发射的电波，好像是经过调制的。”	— Mais j'ai l'impression que les signaux sont d'abord modulés avant d'être transmis.
“是的，但这种调制与常规无线电通讯完全不同，不是为了加载信息，而是用变化的频率和振幅突破敌人可能进行的屏蔽防护，当然，这些还都在试验中。” 👓 鲲·弩+小·说w ww - k u n n u - c om-	— Effectivement, mais cette modulation est très différente de celle habituellement effectuée pour des communications radio. Il ne s'agit pas de transmettre des informations, mais d'utiliser des fréquences et des amplitudes variables destinées à percer les éventuels systèmes de protection prévus par l'ennemi. Bien entendu, tout cela en est encore au stade expérimental.
叶文洁点点头，以前心中的许多其他疑问现在也都到了解答。	Wenjie hocha la tête. Beaucoup des questions qu'elle se posait venaient de trouver une réponse.
“最近，从酒泉发射了两颗靶标卫星，红岸系统进的攻击试验，完全成功，摧毁了目标，使卫星内部达到了近千度的高温，搭载的仪器和摄影设备全部被破坏。	— Nous avons récemment lancé à Jiuquan deux satellites cibles que nous avons fait attaquer par le système d'armement de Côte Rouge. L'opération a été un succès, les cibles ont été détruites. L'intérieur des satellites a été chauffé à une température approchant 1 000 oC. Tous les instruments électroniques et les équipements photographiques à bord ont été dissous.
在未来实战中，红岸系统可以有效打击敌人的通信和侦察卫星，美帝目前的主力侦察卫星KH8，和即将发射的KH9，苏修那些轨道更低的侦察卫星就更不在话下了。	Dans les prochaines guerres, Côte Rouge sera capable d'attaquer avec une grande efficacité les satellites de communication et de reconnaissance ennemis, comme la série de satellites espions américains KH-8 et la future série KH-9. Et c'est sans parler des satellites espions soviétiques, encore plus vulnérables.
必要的时候，还有能力摧毁苏修的礼炮号空间站和美帝计划于明年发射的天空实验室。”	Quand il le faudra, nous pourrons anéantir la station spatiale soviétique Saliout ou la station Skylab que les États-Unis vont lancer prochainement.
“政委，你在对她说些什么？” 有人在叶文洁身后说。	— Commissaire Lei, de quoi parlez-vous ? dit quelqu'un dans le dos de Wenjie.
她转身一看，是杨卫宁，他盯着雷政委，目光很严厉。	Elle se retourna. C'était Yang Weining, il fixait le commissaire politique avec un regard sévère.
“我这是为了工作。” 雷政委扔下一句话，转身走了。	— C'est pour le travail, lâcha le commissaire avant de s'en aller.
杨卫宁无言地看了叶文洁一眼，也跟着走去，只丢下叶文洁一人。	Yang Weining regarda Wenjie sans rien dire et s'en alla à son tour, laissant Wenjie seule.
“是他把我带进基地的。 可到现在他还是不信任我。” 叶文洁悲哀地想。 同时在为雷政委担心。	C'est lui qui m'a fait venir ici mais, encore aujourd'hui, il ne me fait toujours pas confiance, se dit tristement Wenjie, tout en s'inquiétant pour Lei Zhicheng.
在基地，雷志成的权力大于杨卫宁，各项重大事务政委有最终决定权。	Dans la base, le pouvoir politique de Lei Zhicheng était certes plus important que celui de Yang Weining et c'était lui qui prenait toutes les décisions finales.
但刚才他匆匆离去的样子，显然是觉得在总工程师面前做错了什么事，这让叶文洁确信他将红岸的真实用途告诉自己，可能只是个人的决定。	Toutefois son départ précipité de tout à l'heure signifiait clairement aux yeux de Wenjie qu'il avait commis une erreur devant l'ingénieur en chef. Cela la confortait dans l'idée qu'il lui avait révélé le véritable but de Côte Rouge.
对于他这将产生什么样的后果？	Subirait-il les conséquences de cette confiance ?
看着雷政委那魁梧的背影，叶文洁心中涌上了股感激之情，对于她，信任无疑是一种不敢奢望的奢侈品。	Alors qu'elle regardait s'éloigner la robuste silhouette du commissaire politique, une vague de gratitude lui emplit le cœur. Ici, la confiance était à n'en pas douter un luxe auquel elle n'aspirait déjà plus.
与杨卫宁相比。 雷志成是叶文洁心目中真正的军人，有着军人的坦诚和直率，而杨卫宁只是一个她见过很多的这个时代典型的知识分子，胆小谨慎，只求自保平安。	Comparé à Yang Weining, Lei Zhicheng était plus proche de l'image qu'elle se faisait d'un militaire ; il en avait la franchise et la droiture, tandis que Yang Weining n'était rien d'autre que ce genre d'intellectuel quelconque comme il y en avait tant à cette époque : lâche et prudent, seulement à la recherche de protection et de sécurité.
虽然叶文洁理解他，但与他本来就很远的距离更拉远了。	Wenjie pouvait le comprendre, mais la distance qui la séparait de lui s’accrut.
第二天，叶文洁被调离了发射部，安排到监听部工作。	Le lendemain, Wenjie fut transférée de l'unité de transmission à l'unité de surveillance.
她原以为这与昨天的事有关，是将她调离红岸的核心部门，但到监听部后，才发现这里更像红岸的核心。	Elle avait d'abord cru que cette décision était en lien avec ce qui s'était passé la veille, qu'on l'éloignait du secteur principal de Côte Rouge. Cependant, une fois arrivée dans l'unité de surveillance, elle comprit que le centre de la base était bien là.
虽然两个部门在设备系统上有重叠之处，比如共用同一个天线，但监听部的技术水平比发射部要先进一个层次。	Les appareils des deux unités étaient certes les mêmes – on utilisait la même antenne –, mais le niveau de technologie de l'unité de surveillance était bien plus avancé que celui de l'unité de transmission.
监听部有套十分先进的电波灵敏接收系统，从巨型天线接收到的信号通过红宝石行波微波激射器放大——为了抑制系统本身的干扰，竟将接收系统的核心部分浸泡于269℃的液氮中，液氮由直升机定期运来以补充消耗。	L'unité de surveillance possédait un système de réception des ondes radio très sensible et très performant. Les signaux reçus par l'antenne étaient amplifiés à l'aide de masers à ondes progressives en rubis et le noyau du système de réception était immergé dans une cuve d'hélium liquide à – 269 oC, de manière à minimiser les fluctuations thermiques. Un hélicoptère venait remplir la cuve à intervalles réguliers.
